"IE_XML_ID"	"IE_NAME"	"IE_ACTIVE"	"IE_CODE"	"IP_PROP35"	"IP_PROP36"	"IP_PROP37"	"IP_PROP51"	"IP_PROP6"	"IP_PROP8"	"IP_PROP23"	"IP_PROP24"	"IP_PROP25"	"IP_PROP27"	"IP_PROP30"	"IP_PROP42"	"IP_PROP55"	"IC_GROUP0"	"CV_PRICE_1"	"CV_CURRENCY_1"
	"Журнальный стол БИНТАУ 381065"	"N"	381065	44	37	45	11,8		"black"	"Под заказ"	"circle"	"obez"	30000	381065	"bintou"	"Индонезия"	"Кофейные столы"	30000	"RUB"
	"Журнальный стол БИНТАУ 381066"	"N"	381066	49	46	45	16		"black"	"Под заказ"	"circle"	"obez"	35000	381066	"bintou"	"Индонезия"	"Журнальные столы"	35000	"RUB"
	"Журнальный стол БИНТАУ 381067"	"N"	381067	48	44	45	16,5		"black"	"Под заказ"	"circle"	"obez"	35000	381067	"bintou"	"Индонезия"	"Журнальные столы"	35000	"RUB"
	"Журнальный стол БИНТАУ 381068"	"N"	381068	67	60	45	32		"black"	"Под заказ"	"circle"	"obez"	64600	381068	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381069"	"N"	381069	69	60	45	32		"black"	"Под заказ"	"circle"	"obez"	64600	381069	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381070"	"N"	381070	67	60	45	32		"black"	"Под заказ"	"circle"	"obez"	64600	381070	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381071"	"Y"	381071	70	59	45	32		"black"	"В резерве"	"circle"	"obez"	64600	381071	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381072"	"N"	381072	67	58	45	32		"black"	"Под заказ"	"circle"	"obez"	64600	381072	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381073"	"N"	381073	69	58	45	31		"black"	"Под заказ"	"circle"	"obez"	62600	381073	"bintou"	"Индонезия"	"Журнальные столы"	62600	"RUB"
	"Журнальный стол БИНТАУ 381074"	"Y"	381074	79	57	45	47		"black"	"В наличии"	"circle"	"obez"	94800	381074	"bintou"	"Индонезия"	"Журнальные столы"	94800	"RUB"
	"Журнальный стол БИНТАУ 381075"	"Y"	381075	77	70	45	54		"black"	"В наличии"	"circle"	"obez"	109000	381075	"bintou"	"Индонезия"	"Журнальные столы"	109000	"RUB"
	"Журнальный стол БИНТАУ 381076"	"Y"	381076	77	73	45	50		"black"	"В наличии"	"circle"	"obez"	100900	381076	"bintou"	"Индонезия"	"Журнальные столы"	100900	"RUB"
	"Журнальный стол БИНТАУ 381077"	"N"	381077	89	71	45	42			"Под заказ"	"circle"	"obez"	84800	381077	"bintou"	"Индонезия"	"Журнальные столы"	84800	"RUB"
	"Журнальный стол БИНТАУ 381078"	"N"	381078	78	63	45	43			"Под заказ"	"circle"	"obez"	86800	381078	"bintou"	"Индонезия"	"Журнальные столы"	86800	"RUB"
	"Журнальный стол БИНТАУ 381079"	"N"	381079	76	63	45	46			"Под заказ"	"circle"	"obez"	92800	381079	"bintou"	"Индонезия"	"Журнальные столы"	92800	"RUB"
	"Журнальный стол БИНТАУ 381080"	"N"	381080	74	72	45	48			"Под заказ"	"circle"	"obez"	96900	381080	"bintou"	"Индонезия"	"Журнальные столы"	96900	"RUB"
	"Журнальный стол БИНТАУ 381081"	"Y"	381081	83	75	45	66		"black"	"В наличии"	"circle"	"obez"	133200	381081	"bintou"	"Индонезия"	"Большие столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381081"	"Y"	381081	83	75	45	66		"black"	"В наличии"	"circle"	"obez"	133200	381081	"bintou"	"Индонезия"	"Журнальные столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381082"	"Y"	381082	83	74	45	60		"black"	"В наличии"	"circle"	"obez"	121100	381082	"bintou"	"Индонезия"	"Большие столы"	121100	"RUB"
	"Журнальный стол БИНТАУ 381082"	"Y"	381082	83	74	45	60		"black"	"В наличии"	"circle"	"obez"	121100	381082	"bintou"	"Индонезия"	"Журнальные столы"	121100	"RUB"
	"Журнальный стол БИНТАУ 381083"	"Y"	381083	78	74	45	64		"black"	"В резерве"	"circle"	"obez"	129100	381083	"bintou"	"Индонезия"	"Журнальные столы"	129100	"RUB"
	"Журнальный стол БИНТАУ 381084"	"Y"	381084	82	74	45	65		"black"	"В резерве"	"circle"	"obez"	131200	381084	"bintou"	"Индонезия"	"Большие столы"	131200	"RUB"
	"Журнальный стол БИНТАУ 381084"	"Y"	381084	82	74	45	65		"black"	"В резерве"	"circle"	"obez"	131200	381084	"bintou"	"Индонезия"	"Журнальные столы"	131200	"RUB"
	"Журнальный стол БИНТАУ 381085"	"Y"	381085	83	74	45	56		"black"	"В резерве"	"circle"	"obez"	113000	381085	"bintou"	"Индонезия"	"Большие столы"	113000	"RUB"
